model;range;efficiency;capacity;acceleration;topspeed;fastcharge;chargespeed
Peugeot e-Traveller Standard 50 kWh;180;250;45.0;13.1 sec;130;290;25
Peugeot e-Traveller Standard 75 kWh;265;257;68.0;14.3 sec;130;290;25
Polestar 2 Long Range Dual Motor;395;190;75.0;4.7 sec;205;510;49
Polestar 2 Long Range Single Motor;425;176;75.0;7.4 sec;160;550;53
Polestar 2 Standard Range Single Motor;350;174;61.0;7.4 sec;160;430;54
Porsche Taycan ;395;180;71.0;5.4 sec;230;790;52
Porsche Taycan 4 Cross Turismo;405;207;83.7;5.1 sec;220;890;45
Porsche Taycan 4S;375;189;71.0;4.0 sec;250;750;49
Porsche Taycan 4S Cross Turismo;405;207;83.7;4.1 sec;240;890;45
Porsche Taycan 4S Plus;435;192;83.7;4.0 sec;250;960;49
Porsche Taycan GTS;460;182;83.7;3.7 sec;250;1010;51
Porsche Taycan GTS Sport Turismo;435;192;83.7;3.7 sec;250;960;49
Porsche Taycan Plus;460;182;83.7;5.4 sec;230;1010;51
Porsche Taycan Turbo;400;209;83.7;3.2 sec;260;880;45
Porsche Taycan Turbo Cross Turismo;385;217;83.7;3.3 sec;250;850;43
Porsche Taycan Turbo S;390;215;83.7;2.8 sec;260;860;44
Porsche Taycan Turbo S Cross Turismo;380;220;83.7;2.9 sec;250;840;42
Renault Kangoo Maxi ZE 33;160;194;31.0;22.4 sec;130;-;32
Renault Megane E-Tech EV40 130hp;245;163;40.0;10.0 sec;160;350;39
Renault Megane E-Tech EV60 130hp;365;164;60.0;10.0 sec;160;520;38
Renault Megane E-Tech EV60 220hp;360;167;60.0;7.4 sec;160;520;38
Renault Twingo Electric;130;164;21.3;12.6 sec;135;-;110
Renault Zoe ZE40 R110;255;161;41.0;11.4 sec;135;230;110
Renault Zoe ZE50 R110;315;165;52.0;11.4 sec;135;230;110
Renault Zoe ZE50 R135;310;168;52.0;9.5 sec;140;230;110
SEAT Mii Electric ;205;158;32.3;12.3 sec;130;170;39
Seres 3 ;270;193;52.0;8.9 sec;155;390;29
Skoda Enyaq iV 50;295;176;52.0;11.3 sec;160;240;35
Skoda Enyaq iV 60;330;176;58.0;8.7 sec;160;460;53
Skoda Enyaq iV 80;420;183;77.0;8.6 sec;160;530;51
Skoda Enyaq iV 80x;400;193;77.0;6.9 sec;160;500;49
Skoda Enyaq iV RS;395;195;77.0;6.2 sec;180;500;48
Smart EQ forfour ;95;176;16.7;12.7 sec;130;-;22
Smart EQ fortwo cabrio;95;176;16.7;11.9 sec;130;-;22
Smart EQ fortwo coupe;100;167;16.7;11.6 sec;130;-;23
Sono Sion ;260;181;47.0;9.0 sec;140;310;52
SsangYong Korando e-Motion;290;193;56.0;8.5 sec;156;290;29
Subaru Solterra AWD;375;190;71.4;7.7 sec;160;490;29
Tesla Model 3 ;380;150;57.0;6.1 sec;225;630;62
Tesla Model 3 Long Range Dual Motor;455;154;70.0;4.4 sec;233;650;60
Tesla Model 3 Long Range Dual Motor;485;155;75.0;4.4 sec;233;670;60
Tesla Model 3 Performance;470;162;76.0;3.3 sec;261;790;58
Tesla Model S Long Range;585;162;95.0;3.2 sec;250;810;86
Tesla Model S Plaid;560;170;95.0;2.1 sec;322;780;83
Tesla Model X Long Range;490;194;95.0;3.9 sec;250;680;72
Tesla Model X Plaid;465;204;95.0;2.6 sec;262;650;69
Tesla Model Y Long Range Dual Motor;410;171;70.0;5.0 sec;217;590;55
Tesla Model Y Performance;425;179;76.0;3.7 sec;241;710;52
Toyota PROACE Verso L 50 kWh;175;257;45.0;12.1 sec;130;280;24
Toyota PROACE Verso L 75 kWh;250;260;65.0;13.1 sec;130;290;24
Toyota PROACE Verso M 50 kWh;180;250;45.0;12.1 sec;130;290;25
Toyota PROACE Verso M 75 kWh;250;260;65.0;13.1 sec;130;290;24
Toyota bZ4X AWD;375;190;71.4;7.7 sec;160;490;29
Toyota bZ4X FWD;380;188;71.4;8.4 sec;160;490;30
Volkswagen ID.3 Pro;350;166;58.0;9.6 sec;160;490;56
Volkswagen ID.3 Pro Performance;350;166;58.0;7.3 sec;160;490;56
Volkswagen ID.3 Pro S - 4 Seats;450;171;77.0;7.9 sec;160;570;55
Volkswagen ID.3 Pro S - 5 Seats;450;171;77.0;7.9 sec;160;570;55
Volkswagen ID.3 Pure Performance;275;164;45.0;8.9 sec;160;410;38
Volkswagen ID.4 GTX;400;193;77.0;6.2 sec;180;500;49
Volkswagen ID.4 Pro Performance;410;188;77.0;8.5 sec;160;520;50
Volkswagen ID.4 Pure;285;182;52.0;10.9 sec;160;360;34
Volkswagen ID.4 Pure Performance;285;182;52.0;9.0 sec;160;360;34
Volkswagen ID.5 GTX;410;188;77.0;6.3 sec;180;550;50
Volkswagen ID.5 Pro;430;179;77.0;10.4 sec;160;540;52
Volkswagen ID.5 Pro Performance;430;179;77.0;8.4 sec;160;540;52
Volkswagen e-Up! ;205;158;32.3;11.9 sec;130;170;39
Volvo C40 Recharge;340;221;75.0;4.7 sec;180;440;42
Volvo XC40 Recharge Pure Electric;315;213;67.0;7.4 sec;160;400;44
Volvo XC40 Recharge Twin Pure Electric;340;221;75.0;4.9 sec;180;440;42
